Datetime;Spot;day_cat
201810010000;59.53;1
201810010100;56.1;1
201810010200;51.41;1
201810010300;47.38;1
201810010400;47.59;1
201810010500;51.61;1
201810010600;69.13;1
201810010700;77.32;1
201810010800;84.97;1
201810010900;79.56;1
201810011000;73.7;1
201810011100;71.63;1
201810011200;63.15;1
201810011300;60.24;1
201810011400;56.18;1
201810011500;53;1
201810011600;53.37;1
201810011700;60.42;1
201810011800;69.93;1
201810011900;75;1
201810012000;65.83;1
201810012100;53.86;1
201810012200;46.46;1
201810012300;42.5;1
201810020000;45.1;1
201810020100;44.1;1
201810020200;44.06;1
201810020300;43.77;1
201810020400;44.29;1
201810020500;48.13;1
201810020600;57.7;1
201810020700;68.21;1
201810020800;70.36;1
201810020900;54.53;1
201810021000;48.49;1
201810021100;46.19;1
201810021200;44.15;1
201810021300;30.79;1
201810021400;27.75;1
201810021500;30.74;1
201810021600;26.77;1
201810021700;38.68;1
201810021800;48.52;1
201810021900;49.03;1
201810022000;45.43;1
201810022100;32.04;1
201810022200;26.22;1
201810022300;1.08;1
201810030000;2.13;4
201810030100;0.1;4
201810030200;0.05;4
201810030300;0.07;4
201810030400;-0.08;4
201810030500;-0.09;4
201810030600;-4.97;4
201810030700;-0.06;4
201810030800;0.7;4
201810030900;0.91;4
201810031000;-0.03;4
201810031100;0.03;4
201810031200;-0.04;4
201810031300;0;4
201810031400;0.03;4
201810031500;5.75;4
201810031600;20.28;4
201810031700;43.2;4
201810031800;63.23;4
201810031900;71.44;4
201810032000;67.95;4
201810032100;56.88;4
201810032200;62.85;4
201810032300;48.72;4
201810040000;53.24;1
201810040100;46.1;1
201810040200;45.6;1
201810040300;46.88;1
201810040400;47.53;1
201810040500;50.88;1
201810040600;74.69;1
201810040700;80.15;1
201810040800;81;1
201810040900;82.09;1
201810041000;78.96;1
201810041100;75.34;1
201810041200;63.05;1
201810041300;54.49;1
201810041400;54.4;1
201810041500;57.61;1
201810041600;66.96;1
201810041700;77.23;1
201810041800;80.25;1
201810041900;88.08;1
201810042000;80.67;1
201810042100;72.22;1
201810042200;53.98;1
201810042300;52.25;1
201810050000;49.57;1
201810050100;51.16;1
201810050200;48.91;1
201810050300;47.36;1
201810050400;48.28;1
201810050500;54.18;1
201810050600;63.62;1
201810050700;78.87;1
201810050800;79.74;1
201810050900;74.5;1
201810051000;55.42;1
201810051100;50.21;1
201810051200;46.64;1
201810051300;50.72;1
201810051400;48.24;1
201810051500;48.55;1
201810051600;54.98;1
201810051700;74.99;1
201810051800;78.66;1
201810051900;82.96;1
201810052000;79.9;1
201810052100;65.08;1
201810052200;59.86;1
201810052300;54.7;1
201810060000;50.1;2
201810060100;52.98;2
201810060200;51.52;2
201810060300;51;2
201810060400;50;2
201810060500;46.91;2
201810060600;53.03;2
201810060700;62.37;2
201810060800;63.98;2
201810060900;70.72;2
201810061000;64.79;2
201810061100;59.06;2
201810061200;58;2
201810061300;51.51;2
201810061400;50.2;2
201810061500;49.23;2
201810061600;54.81;2
201810061700;59.93;2
201810061800;72.06;2
201810061900;82.27;2
201810062000;70.6;2
201810062100;61.39;2
201810062200;57.02;2
201810062300;46.46;2
201810070000;50.49;3
201810070100;47.11;3
201810070200;45.75;3
201810070300;43.02;3
201810070400;42.5;3
201810070500;43.8;3
201810070600;44.6;3
201810070700;46.56;3
201810070800;50.71;3
201810070900;55.98;3
201810071000;55.09;3
201810071100;55.13;3
201810071200;54.06;3
201810071300;50.9;3
201810071400;49.91;3
201810071500;49.05;3
201810071600;50.21;3
201810071700;55.48;3
201810071800;70;3
201810071900;80.94;3
201810072000;77.07;3
201810072100;71.47;3
201810072200;68.3;3
201810072300;59.91;3
201810080000;55.59;1
201810080100;50.3;1
201810080200;50.16;1
201810080300;47.32;1
201810080400;47.94;1
201810080500;51.14;1
201810080600;62.79;1
201810080700;79.98;1
201810080800;82.42;1
201810080900;81.58;1
201810081000;66.89;1
201810081100;52.06;1
201810081200;51.57;1
201810081300;49.96;1
201810081400;52.07;1
201810081500;52.81;1
201810081600;61.52;1
201810081700;74.9;1
201810081800;85.37;1
201810081900;102.01;1
201810082000;85.77;1
201810082100;78.1;1
201810082200;58.01;1
201810082300;52.95;1
201810090000;56.77;1
201810090100;57.43;1
201810090200;55.11;1
201810090300;52.35;1
201810090400;54.86;1
201810090500;57.99;1
201810090600;74.27;1
201810090700;91.37;1
201810090800;96.68;1
201810090900;91.95;1
201810091000;82.54;1
201810091100;64.7;1
201810091200;54.31;1
201810091300;53.35;1
201810091400;55.64;1
201810091500;62.41;1
201810091600;68.97;1
201810091700;83.2;1
201810091800;90;1
201810091900;110.28;1
201810092000;92.55;1
201810092100;80.51;1
201810092200;69.76;1
201810092300;60.56;1
201810100000;53.7;1
201810100100;55.13;1
201810100200;54.88;1
201810100300;54.05;1
201810100400;54.64;1
201810100500;55.46;1
201810100600;72.16;1
201810100700;88;1
201810100800;93.22;1
201810100900;86.84;1
201810101000;80.81;1
201810101100;73.69;1
201810101200;55.27;1
201810101300;53.61;1
201810101400;51.99;1
201810101500;53.68;1
201810101600;57.47;1
201810101700;69.3;1
201810101800;70.68;1
201810101900;72.88;1
201810102000;53.71;1
201810102100;51.18;1
201810102200;46.74;1
201810102300;33.04;1
201810110000;35.01;1
201810110100;31.71;1
201810110200;29.97;1
201810110300;30.05;1
201810110400;35.85;1
201810110500;44.08;1
201810110600;49.98;1
201810110700;72.96;1
201810110800;71.52;1
201810110900;59.8;1
201810111000;49.21;1
201810111100;48.61;1
201810111200;47.02;1
201810111300;46.9;1
201810111400;49.25;1
201810111500;59.95;1
201810111600;65.06;1
201810111700;72.85;1
201810111800;81.3;1
201810111900;88.5;1
201810112000;76.34;1
201810112100;58.62;1
201810112200;52.04;1
201810112300;47.86;1
201810120000;45.85;1
201810120100;45.88;1
201810120200;45.6;1
201810120300;45.64;1
201810120400;45.8;1
201810120500;49.64;1
201810120600;56.65;1
201810120700;69.87;1
201810120800;71.47;1
201810120900;69.71;1
201810121000;69.52;1
201810121100;61.95;1
201810121200;49.25;1
201810121300;48.75;1
201810121400;47.84;1
201810121500;53.32;1
201810121600;56.95;1
201810121700;67.32;1
201810121800;69.94;1
201810121900;79.08;1
201810122000;65;1
201810122100;53.58;1
201810122200;50;1
201810122300;43.88;1
201810130000;47.8;2
201810130100;43.97;2
201810130200;42.08;2
201810130300;39.14;2
201810130400;42.74;2
201810130500;43.91;2
201810130600;48.34;2
201810130700;58.18;2
201810130800;62.9;2
201810130900;62.43;2
201810131000;52.55;2
201810131100;44.05;2
201810131200;37.4;2
201810131300;34.1;2
201810131400;31.95;2
201810131500;37.42;2
201810131600;50.23;2
201810131700;60.46;2
201810131800;64.54;2
201810131900;55.85;2
201810132000;40.59;2
201810132100;31.52;2
201810132200;24.72;2
201810132300;20.29;2
201810140000;20.76;3
201810140100;21.44;3
201810140200;20.89;3
201810140300;19.52;3
201810140400;20.72;3
201810140500;20.79;3
201810140600;22.07;3
201810140700;25.86;3
201810140800;27.69;3
201810140900;26.71;3
201810141000;26.94;3
201810141100;25.76;3
201810141200;20.73;3
201810141300;20.75;3
201810141400;13.92;3
201810141500;19.54;3
201810141600;20.74;3
201810141700;42.82;3
201810141800;56.56;3
201810141900;68.09;3
201810142000;40.54;3
201810142100;32.9;3
201810142200;31.32;3
201810142300;27;3
201810150000;34.93;1
201810150100;30.86;1
201810150200;29.05;1
201810150300;30.06;1
201810150400;33;1
201810150500;42;1
201810150600;60.02;1
201810150700;79.38;1
201810150800;79.05;1
201810150900;74.72;1
201810151000;62.39;1
201810151100;52.89;1
201810151200;48.52;1
201810151300;49.82;1
201810151400;51.45;1
201810151500;55.26;1
201810151600;71.86;1
201810151700;80.28;1
201810151800;90;1
201810151900;107.32;1
201810152000;75.31;1
201810152100;70.49;1
201810152200;59.05;1
201810152300;59.07;1
201810160000;56.06;1
201810160100;53.55;1
201810160200;52.01;1
201810160300;51;1
201810160400;52.2;1
201810160500;57.02;1
201810160600;77.73;1
201810160700;86.98;1
201810160800;95.01;1
201810160900;86.02;1
201810161000;78.82;1
201810161100;75.93;1
201810161200;70.91;1
201810161300;69.36;1
201810161400;68.61;1
201810161500;69.19;1
201810161600;74.04;1
201810161700;80.95;1
201810161800;89.97;1
201810161900;105.12;1
201810162000;84.96;1
201810162100;76.02;1
201810162200;59.99;1
201810162300;56.5;1
201810170000;55.01;1
201810170100;52.33;1
201810170200;50.33;1
201810170300;50;1
201810170400;51.52;1
201810170500;55.75;1
201810170600;73.6;1
201810170700;88.77;1
201810170800;89.99;1
201810170900;87.6;1
201810171000;80.48;1
201810171100;74.24;1
201810171200;59.75;1
201810171300;57.85;1
201810171400;60.01;1
201810171500;70.81;1
201810171600;79.94;1
201810171700;82.94;1
201810171800;89.94;1
201810171900;112.66;1
201810172000;86.14;1
201810172100;75.57;1
201810172200;58.46;1
201810172300;58.16;1
201810180000;55.35;1
201810180100;53.36;1
201810180200;50.75;1
201810180300;48.88;1
201810180400;48.9;1
201810180500;52.32;1
201810180600;61.06;1
201810180700;79.86;1
201810180800;82.99;1
201810180900;80.97;1
201810181000;74.59;1
201810181100;61.52;1
201810181200;55.28;1
201810181300;55.04;1
201810181400;55.12;1
201810181500;55.28;1
