Datetime;Spot;day_cat;wind;sun;temp;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23;d1;d2;d3;d4;t_saw1;t_saw2
2.02E+11;59.53;1;1.74;0;9.47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2.02E+11;56.1;1;1.71;0;9.55;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;0.833333333
2.02E+11;51.41;1;1.47;0;9.1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;0.666666667
2.02E+11;47.38;1;1.15;0;8.7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0.5
2.02E+11;47.59;1;1.85;0;9.27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;0.333333333
2.02E+11;51.61;1;2.51;0;9.12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;0.166666667
2.02E+11;69.13;1;2.21;1.62;9.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2.02E+11;77.32;1;2.38;16.09;9.65;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;-0.166666667
2.02E+11;84.97;1;2.88;20.73;10.6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;-0.333333333
2.02E+11;79.56;1;3.62;8.36;11.4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;-0.5
2.02E+11;73.7;1;3.74;24.14;11.8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;-0.666666667
2.02E+11;71.63;1;5.31;25.21;11.8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;-0.833333333
2.02E+11;63.15;1;5.93;10.57;11.7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-1
2.02E+11;60.24;1;5.33;8.06;10.9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.166666667;-0.833333333
2.02E+11;56.18;1;4.97;7.37;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.333333333;-0.666666667
2.02E+11;53;1;5.36;14.44;11.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;-0.5;-0.5
2.02E+11;53.37;1;5.16;11.7;10.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;-0.666666667;-0.333333333
2.02E+11;60.42;1;4.51;5.27;9.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;-0.833333333;-0.166666667
2.02E+11;69.93;1;4.35;0;8.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;-1;0
2.02E+11;75;1;3.42;0;8.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;-0.833333333;0.166666667
2.02E+11;65.83;1;3.54;0;7.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;-0.666666667;0.333333333
2.02E+11;53.86;1;3.03;0;7.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;-0.5;0.5
2.02E+11;46.46;1;2.94;0;7.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;-0.333333333;0.666666667
2.02E+11;42.5;1;2.65;0;6.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;-0.166666667;0.833333333
2.02E+11;45.1;1;2.91;0;6.57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2.02E+11;44.1;1;2.69;0;6.5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;0.833333333
2.02E+11;44.06;1;2.36;0;6.3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;0.666666667
2.02E+11;43.77;1;2.91;0;6.05;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;0.5
2.02E+11;44.29;1;3.25;0;5.95;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;0.333333333
2.02E+11;48.13;1;3.43;0;6.12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;0.166666667
2.02E+11;57.7;1;4.15;0.81;6.12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
2.02E+11;68.21;1;4.76;26.29;6.92;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.833333333;-0.166666667
2.02E+11;70.36;1;4.88;30.73;7.5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.666666667;-0.333333333
2.02E+11;54.53;1;5.54;33.32;8.35;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.5;-0.5
2.02E+11;48.49;1;5.32;26.37;8.87;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.333333333;-0.666666667
2.02E+11;46.19;1;5.46;7.79;9.4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.166666667;-0.833333333
2.02E+11;44.15;1;4.83;7.34;9.5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-1
2.02E+11;30.79;1;5.87;8.13;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.166666667;-0.833333333
2.02E+11;27.75;1;5.68;1.45;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;-0.333333333;-0.666666667
2.02E+11;30.74;1;6.29;0.24;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;-0.5;-0.5
2.02E+11;26.77;1;6.27;0;11.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;-0.666666667;-0.333333333
2.02E+11;38.68;1;6.13;4.45;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;-0.833333333;-0.166666667
2.02E+11;48.52;1;6.01;0;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;-1;0
2.02E+11;49.03;1;5.76;0;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;-0.833333333;0.166666667
2.02E+11;45.43;1;5.84;0;10.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;-0.666666667;0.333333333
