Datetime;Spot;day_cat;hour;sine_h;cosine_h
2.0181E+11;59.53;1;0;0;1
2.0181E+11;56.1;1;1;0.258819;0.965925826
2.0181E+11;51.41;1;2;0.5;0.866025404
2.0181E+11;47.38;1;3;0.707107;0.707106781
2.0181E+11;47.59;1;4;0.866025;0.5
2.0181E+11;51.61;1;5;0.965926;0.258819045
2.0181E+11;69.13;1;6;1;6.12574E-17
2.0181E+11;77.32;1;7;0.965926;-0.258819045
2.0181E+11;84.97;1;8;0.866025;-0.5
2.0181E+11;79.56;1;9;0.707107;-0.707106781
2.0181E+11;73.7;1;10;0.5;-0.866025404
2.0181E+11;71.63;1;11;0.258819;-0.965925826
2.0181E+11;63.15;1;12;0;-1
2.0181E+11;60.24;1;13;-0.258819;-0.965925826
2.0181E+11;56.18;1;14;-0.5;-0.866025404
2.0181E+11;53;1;15;-0.707107;-0.707106781
2.0181E+11;53.37;1;16;-0.866025;-0.5
2.0181E+11;60.42;1;17;-0.965926;-0.258819045
2.0181E+11;69.93;1;18;-1;-1.83772E-16
2.0181E+11;75;1;19;-0.965926;0.258819045
2.0181E+11;65.83;1;20;-0.866025;0.5
2.0181E+11;53.86;1;21;-0.707107;0.707106781
2.0181E+11;46.46;1;22;-0.5;0.866025404
2.0181E+11;42.5;1;23;-0.258819;0.965925826
2.0181E+11;45.1;1;0;0;1
2.0181E+11;44.1;1;1;0.258819;0.965925826
2.0181E+11;44.06;1;2;0.5;0.866025404
2.0181E+11;43.77;1;3;0.707107;0.707106781
2.0181E+11;44.29;1;4;0.866025;0.5
2.0181E+11;48.13;1;5;0.965926;0.258819045
2.0181E+11;57.7;1;6;1;6.12574E-17
2.0181E+11;68.21;1;7;0.965926;-0.258819045
2.0181E+11;70.36;1;8;0.866025;-0.5
2.0181E+11;54.53;1;9;0.707107;-0.707106781
2.0181E+11;48.49;1;10;0.5;-0.866025404
2.0181E+11;46.19;1;11;0.258819;-0.965925826
2.0181E+11;44.15;1;12;0;-1
2.0181E+11;30.79;1;13;-0.258819;-0.965925826
2.0181E+11;27.75;1;14;-0.5;-0.866025404
2.0181E+11;30.74;1;15;-0.707107;-0.707106781
2.0181E+11;26.77;1;16;-0.866025;-0.5
2.0181E+11;38.68;1;17;-0.965926;-0.258819045
2.0181E+11;48.52;1;18;-1;-1.83772E-16
2.0181E+11;49.03;1;19;-0.965926;0.258819045
2.0181E+11;45.43;1;20;-0.866025;0.5
2.0181E+11;32.04;1;21;-0.707107;0.707106781
2.0181E+11;26.22;1;22;-0.5;0.866025404
2.0181E+11;1.08;1;23;-0.258819;0.965925826
2.0181E+11;2.13;4;0;0;1
2.0181E+11;0.1;4;1;0.258819;0.965925826
